age,income,spend
52,31245.27,19936.76
52,57668.33,22190.74
24,55868.97,17593.88
32,23199.39,5182.71
30,48159.73,17394.42
52,64935.52,17381.56
55,,18815.42
55,65387.55,15492.23
66,50583.7,16455.9
57,37324.32,19682.35
34,33744.52,23539.64
23,55169.07,17564.59
49,55689.2,16722.81
65,69309.97,20738.83
68,66499.69,4632.67
29,48016.57,23816.28
30,31336.91,19995.5
19,45213.4,20317.55
25,53258.47,27685.87
46,,4377.48
46,41331.59,4209.33
37,53793.27,22190.43
34,42440.63,19943.07
61,40579.01,21361.42
41,54671.79,16302.98
60,43970.11,25314.83
68,53661.57,27461.11
34,54098.06,23871.86
28,32908.56,17913.37
67,,3138.48
51,71566.65,26153.89
33,32568.81,29773.83
50,18250.18,25156.47
44,22072.32,12962.86
65,50436.65,25390.36
31,50463.76,26884.24
69,48235.84,32470.53
66,68212.85,12991.12
27,9907.48,18188.36
26,55939.01,25978.18
45,73421.57,20459.28
20,33083.29,11061.38
33,44302.9,23316.93
40,38706.62,24629.29
68,36584.81,20703.7
69,45106.07,21756.68
25,71412.28,17930.35
64,77560.8,31826.23
22,44960.91,12794.46
56,78575.9,15301.43
61,50533.65,20087.88
64,76305.37,27031.63
29,48600.52,8021.01
64,51965.87,9517.63
24,55482.12,3698.17
44,97682.81,20261.56
42,62769.28,11053.55
34,39391.03,16923.6
19,64534.97,25291.03
58,44572.51,14867.66
35,42653.75,21850.26
52,63629.02,17605.3
39,50466.28,25376.91
37,54178.64,23801.02
64,50209.78,14464.53
22,55048.75,18650.79
56,56374.49,28349.95
56,,23147.01
37,59998.59,8824.3
31,35269.71,25244.94
18,28365.51,11323.12
66,49123.83,31300.1
67,51259.72,28192.79
30,39597.41,22319.08
19,62465.48,21257.86
24,29867.37,18327.74
21,43895.84,25428.19
61,41226.89,17033.77
64,49301.19,21884.56
25,54182.96,26975.47
56,34881.61,15505.55
27,60864.24,15070.46
37,50945.04,10445.08
49,21620.81,11484.22
55,20621.13,5372.84
63,49815.21,25838.63
20,46685.49,34471.32
28,48448.7,31402.63
32,49580.26,6991.32
34,53383.4,25798.84
69,64214.74,31376.85
58,33333.43,16345.52
34,32420.43,20811.58
68,33600.14,3936.86
43,54333.75,22133.89
44,68674.21,11491.52
40,43529.91,21597.08
25,12474.5,7510.38
66,24440.11,24342.87
18,37504.45,28196.1
27,41634.07,13734.56
29,43874.17,10904.62
32,50578.72,2751.82
24,45323.81,17868.69
18,65740.09,15347.25
53,39859.74,7591.84
68,37065.23,23624.15
24,57183.13,16400.24
33,26965.37,11394.11
44,55845.38,15563.42
66,51538.3,28570.44
54,47788.36,24823.5
57,73824.14,18959.79
48,40666.89,24952.84
39,80904.47,10712.7
28,46618.53,20258.96
62,30844.75,21178.58
59,51048.79,16241.31
19,33856.32,23483.67
55,38723.66,13756.53
22,55955.5,24078.57
56,58333.73,24414.87
60,40667.48,-3337.28
24,64811.08,29522.45
40,67362.62,-4381.06
24,71544.53,15071.61
47,,28202.78
66,70451.43,17461.71
22,21788.02,8270.51
38,45231.4,11250.1
68,36994.92,28215.25
33,51788.39,4627.96
24,41428.26,29031.93
43,47507.63,19559.18
44,78232.62,10460.84
52,47454.2,15335.08
34,56206.88,11862.21
67,46515.96,26929.8
45,51135.7,25859.42
32,50090.25,6246.71
67,56724.86,16771.26
66,67479.61,13094.51
43,74710.91,30348.08
19,54644.3,9199.21
49,58843.2,32833.83
46,32737.03,19733.64
25,48681.85,10704.52
50,64104.34,14581.81
61,62989.53,13587.05
23,53174.15,9803.05
55,63295.91,20758.61
25,57361.5,10176.68
56,68004.59,2557.07
39,54340.39,16962.59
18,44664.53,5577.15
68,55037.62,13982.71
26,6041.08,12727.18
48,55743.29,13030.27
27,-4726.19,36007.7
66,24148.05,20451.29
56,56776.53,21962.97
59,57162.94,5788.81
40,32563.57,14768.29
42,39318.47,21722.42
50,70558.11,11803.77
58,42739.55,27264.5
62,83643.8,10378.43
18,49971.2,17709.07
52,56120.54,15311.59
23,74253.12,21314.57
32,51965.41,14876.08
61,34964.84,17832.85
31,48354.09,18110.96
59,49465.84,14124.9
42,29528.88,23880.75
30,46162.52,21907.11
35,38867.12,19291.09
45,63865.37,16556.33
57,50519.18,26372.35
49,45758.06,18113.33
66,48407.27,17546.42
63,53346.83,20837.52
57,59252.21,33572.69
49,35004.32,9277.15
33,34376.19,26158.86
39,66570.19,4854.63
24,43814.95,21738.19
37,28747.37,32600.66
66,56657.19,23909.35
40,56950.55,21365.0
23,27039.27,15516.4
51,53442.23,20248.38
68,61033.75,17983.5
63,55615.8,13712.19
32,59479.72,17681.0
41,28935.96,21587.05
45,54965.6,13862.26
30,,13549.75
31,42758.15,9118.05
30,,23125.8
69,72189.12,24362.59
56,76915.55,21853.28
61,69722.12,27721.36
60,48353.99,20702.94
67,55290.8,23136.09
23,61502.34,22430.7
63,51817.67,19267.68
21,51961.46,15753.43
42,62356.3,37713.22
48,,16384.39
36,39060.7,14672.98
25,43782.9,23472.08
27,59508.66,22014.84
60,50044.9,8761.67
34,55103.15,28981.43
34,60051.19,19246.44
66,44377.38,11112.55
25,,29510.27
65,55682.64,25005.4
65,31477.8,9883.66
49,71634.57,34217.46
26,42488.83,25270.38
26,25173.57,19918.43
32,34324.34,32721.75
48,34684.32,21274.38
25,50782.6,19775.34
41,45892.24,14717.6
24,44947.52,24654.8
46,59295.53,23812.82
19,55098.13,20117.44
54,54740.72,13680.11
20,56147.43,21039.44
28,59242.02,19441.61
27,18380.7,9332.21
61,44533.43,8225.5
20,17296.85,24521.23
40,50540.9,-815.11
48,49930.51,21643.28
44,65682.98,16175.34
53,67814.52,30465.97
59,53041.63,16052.25
38,42494.58,25275.87
61,57277.42,16824.69
34,42081.24,20909.99
69,49979.11,25894.69
44,64792.04,16299.55
56,41633.43,27972.44
63,62085.18,12050.42
59,60161.02,22356.74
62,35678.12,27381.12
45,64608.41,25280.3
20,60478.5,35331.56
43,51528.89,13892.49
27,38565.15,8966.81
64,37111.91,12045.32
30,41935.06,25283.54
29,58138.92,23983.38
30,35665.62,20818.05
51,56562.68,11016.34
47,31373.67,26134.94
67,46938.97,10202.36
39,51644.72,29271.6
32,86676.95,42859.51
20,29340.27,22931.61
18,72080.22,24664.87
37,52247.64,16057.12
66,56167.58,5518.29
45,51775.22,15178.25
64,56670.9,11256.84
23,47694.72,8423.96
22,71810.75,33778.88
61,43152.93,22182.9
23,66983.52,23037.5
20,40334.49,17527.82
39,49096.22,18617.03
66,,27716.41
53,56825.36,19741.3
23,71676.89,24245.55
61,48839.66,18431.97
61,47046.71,17262.78
59,33280.75,8744.69
64,46560.61,4178.01
30,26108.09,17907.5
68,36306.83,20451.97
34,53401.79,9710.96
59,69785.2,19724.2
48,92138.16,20430.02
58,41201.22,2751.94
50,71529.5,12679.0
51,53656.29,23258.11
50,47731.29,23096.47
58,56488.92,10770.6
56,50928.75,21267.58
24,51655.94,28179.26
60,43875.0,26216.58
45,29028.36,19237.71
34,26845.62,16256.19
44,59798.67,14965.24
68,45849.5,23742.56
62,41058.67,21560.83
61,50127.58,25035.23
42,61923.98,21054.99
58,52705.46,26550.11
38,40159.18,20756.74
53,68394.39,26277.51
51,73687.78,26966.58
30,57418.35,13563.79
31,64604.95,5534.85
21,68629.4,32347.94
25,66951.49,22053.27
40,59211.49,6284.11
42,58975.21,14289.44
26,57794.91,26174.99
39,33539.93,17762.59
49,60510.85,15903.51
30,29662.79,31207.05
35,38081.01,11621.7
37,69553.48,13614.77
44,62603.3,21691.09
37,72310.97,23123.64
56,45924.88,23970.74
35,32716.27,27289.9
40,46393.44,21588.63
37,51530.47,23915.07
27,51184.83,17926.33
53,67005.21,20501.59
30,44580.94,20860.27
33,55280.52,21720.79
59,35170.59,26180.32
67,56754.76,24441.17
52,50046.63,20353.74
65,38752.8,13526.99
62,46462.56,20541.37
43,47237.36,19775.86
58,45947.67,21545.45
35,76570.12,37652.2
41,48523.31,15809.82
45,46341.56,23378.31
67,18538.24,28547.7
62,36586.89,20784.02
43,46053.9,38702.76
51,39712.21,16975.69
28,70725.61,22592.71
59,47525.93,13609.55
46,69326.66,17187.8
45,50925.57,21991.47
57,50558.42,26770.43
50,48668.05,22552.76
21,50056.94,30072.92
32,75781.93,19240.28
27,15205.84,17342.65
56,19976.81,41631.88
19,41852.44,23153.9
28,50217.92,14244.15
49,60351.57,14445.89
54,57096.31,12458.56
44,44236.31,27492.55
62,65285.66,17084.98
65,65452.93,21018.9
24,52760.87,19491.93
67,64439.86,25851.94
49,54089.68,13226.05
51,41577.75,11395.42
22,60467.25,21794.38
50,51659.2,24807.67
55,50020.1,22660.26
48,72094.3,13524.37
22,13236.92,25419.88
45,28734.74,14049.11
66,32193.94,15827.69
55,44551.09,12448.37
25,46180.88,30409.27
67,27390.12,25067.37
67,35222.63,24839.95
26,37087.37,29977.69
59,86861.36,42501.19
39,77026.13,6326.19
48,43823.76,14092.99
41,44546.25,15070.6
58,32761.94,13193.44
69,21378.04,11379.33
59,48246.8,17602.78
66,35032.22,10267.17
67,48727.24,22680.34
22,25996.91,20413.59
31,38570.38,23848.23
55,52229.41,24061.83
48,55493.14,24824.05
20,56262.08,17012.73
22,30192.67,36969.15
45,62820.29,21875.45
50,37996.82,5100.12
26,59492.87,11980.99
26,49840.42,6075.98
24,29354.19,20138.68
47,45257.03,19025.56
18,55480.46,16252.59
47,59194.48,36087.41
42,47885.18,24391.86
42,72976.68,25808.79
53,65112.66,12551.41
45,46150.19,12006.84
55,61251.83,20294.44
57,79006.9,21384.06
65,79407.27,5149.51
59,31580.0,18557.54
44,36102.0,20112.58
43,72273.78,18278.81
30,34125.78,13492.88
49,30161.88,15683.72
25,42707.09,18585.13
66,56303.4,20726.4
61,48464.05,24838.33
24,40241.55,28646.85
58,39886.81,17645.22
24,39314.94,16350.75
55,36807.36,23501.25
22,84224.49,24886.76
43,54462.67,16526.4
52,63301.39,26323.15
55,42663.84,27836.68
39,47210.65,30333.49
65,39296.69,34226.57
58,10224.37,13068.67
28,29329.86,20111.19
52,22840.72,20090.22
55,16253.24,19215.41
35,32069.62,14805.9
56,69874.34,8115.5
64,49333.46,20741.44
60,69358.46,13853.15
57,56164.74,20687.95
50,61738.38,13647.65
32,36486.55,11202.73
59,57859.26,21874.39
36,60930.71,21207.37
45,41350.29,24634.26
34,58393.11,37486.91
34,58492.82,22218.32
26,41756.71,23880.65
67,33158.47,11379.51
25,32238.08,9704.74
22,51297.58,32662.64
66,54905.15,12612.16
46,38112.11,11648.45
40,50398.78,19687.21
56,58558.06,19278.46
37,59272.86,12779.95
24,73278.2,17560.21
55,69154.71,29835.01
27,34980.63,13552.05
46,75253.79,8850.62
67,42035.35,27540.75
66,65673.09,23938.38
36,51019.8,15035.85
58,43817.76,7342.66
49,22884.55,14043.01
42,47426.53,19562.36
25,26609.25,29325.38
37,64509.49,11707.34
51,72751.89,19323.84
69,38046.34,25401.16
18,54529.56,949.86
55,39119.13,28270.29
62,40572.73,10540.4
67,61617.42,22655.96
40,49421.93,21973.47
24,76094.72,28676.69
32,42766.51,24407.4
62,64990.04,981.68
63,51461.2,13721.77
51,,21105.64
24,43292.64,18440.16
24,49256.62,23820.89
42,48267.52,26314.93
48,37459.14,24867.61
19,59931.22,18285.8
53,59753.74,5229.3
46,58903.32,16356.15
18,73054.48,23330.95
22,71740.17,11276.42
41,44375.83,25050.2
55,55595.78,27267.15
60,40645.99,21014.94
40,50350.33,-4510.24
33,41003.76,9775.29
68,74301.05,35089.51
41,55455.47,15627.7
34,46729.56,4126.85
41,67904.28,29881.98
18,17440.77,20106.84
33,19788.46,28839.52
44,61937.58,22215.67
65,50907.03,23668.47
56,53756.69,22904.07
58,30104.06,25579.91
46,49651.49,38219.44
23,,27768.05
38,62362.99,7357.29
69,52545.6,23573.29
20,43414.19,29131.85
63,44081.41,29621.61
53,18062.03,16587.16
32,53864.61,29319.56
58,62682.25,27421.94
61,26365.71,40580.14
20,40078.75,13999.99
23,32638.03,15940.8
52,35519.73,17551.05
69,50802.22,16078.22
19,18733.97,12879.83
52,59214.06,-2101.4
25,61307.83,16522.4
51,46233.46,22954.86
50,12789.37,16054.23
22,35053.72,35483.05
53,68493.53,20107.01
64,8330.09,30328.23
62,44787.15,22091.36
19,32299.99,26611.26
30,,22233.93
30,39873.29,30950.28
41,56059.31,20447.51
25,58481.91,23968.97
62,77543.39,22930.66
58,46955.87,17693.72
60,55640.67,23239.86
28,27724.17,37875.09
18,67856.2,17836.82
65,38592.37,23355.72
33,41588.69,30062.23
52,49666.28,29122.03
65,26556.73,20093.73
19,53431.55,932.89
18,64511.99,24133.62
18,54394.01,2244.21
26,26166.54,31759.5
20,48142.86,21355.79
60,61130.43,27997.39
49,21830.17,12783.11
68,33878.51,7579.94
59,63148.15,22086.04
68,54051.43,19731.17
30,56179.57,16067.67
32,77892.42,20677.29
62,57028.29,42139.49
30,59868.32,26676.2
20,90661.18,28395.99
52,46792.93,26751.5
59,38031.76,31835.7
68,56416.95,18479.43
66,56584.87,3561.91
24,42099.27,18491.31
58,34514.04,26493.89
61,84647.67,12241.6
54,54902.65,18589.07
60,39015.72,14465.84
61,63738.95,32016.23
41,48362.82,25995.66
20,46206.78,25212.32
41,58434.09,24972.81
28,30621.77,19702.01
23,55289.41,21580.45
24,78694.32,10518.52
54,56992.66,2508.46
44,44356.82,21200.65
46,42393.42,22591.92
56,43844.9,29674.12
46,46190.56,32570.69
50,44332.9,32559.99
22,63744.67,12015.81
62,24001.86,17181.88
41,62930.0,23842.67
26,44304.7,40255.24
60,55654.22,31840.79
56,33095.18,28955.18
20,69929.47,16897.7
28,68684.52,12934.4
18,64393.86,26311.26
32,27278.68,11194.71
23,62436.82,18092.51
54,56072.83,19081.78
45,25920.93,32743.3
68,49635.54,17162.42
56,55468.02,486.0
49,58341.13,24035.56
44,52658.92,14407.83
20,54368.47,20341.05
21,72104.17,19306.36
50,68390.51,17810.37
18,6994.18,26322.72
20,45238.42,7737.08
29,47530.23,15863.89
63,23718.52,25472.3
41,51412.75,15087.32
54,68731.37,7129.55
39,33701.48,25348.44
27,55046.01,28984.76
37,36262.65,19640.04
22,,4313.24
58,72160.9,25647.76
27,41861.63,6720.9
37,56933.19,22470.39
68,21931.73,12900.29
48,77934.76,10721.29
41,59039.79,16464.72
46,47262.5,18533.62
58,58633.2,14846.33
31,28852.71,24709.63
51,67737.96,16431.44
63,45140.23,27841.53
47,46938.96,22249.39
41,42625.17,14419.54
25,41290.23,13072.48
30,60420.06,6820.03
67,53838.6,22325.87
46,59776.22,17163.3
33,49868.08,1022.44
39,57698.0,15714.28
48,43717.27,12791.73
45,83445.98,32605.42
54,26481.04,6377.77
31,68914.06,8469.19
51,70518.61,28879.76
41,37217.62,30854.11
66,83439.1,14040.14
26,64932.35,14943.31
25,64567.09,24929.88
42,50420.33,1383.2
44,46741.61,5110.45
53,46858.87,17754.13
39,55857.96,32399.12
65,71017.79,16514.16
42,52719.71,20807.49
24,36328.35,29070.31
24,62366.41,36855.08
68,63817.26,15385.21
24,59819.89,19865.31
67,61182.48,34576.44
32,45936.08,7822.41
22,36065.16,28220.65
33,36977.1,11853.48
49,25468.05,20819.78
40,53554.23,18059.05
58,48748.27,12335.91
49,43400.18,12135.18
38,5665.72,22211.31
51,31290.24,27964.31
68,66812.61,18962.11
39,40030.61,20560.91
25,55408.88,24569.39
39,29139.72,12227.05
61,71580.58,25917.54
29,47839.59,26554.74
67,54350.61,40829.01
48,84886.7,16991.17
49,72746.6,16335.35
34,45401.52,26151.73
65,41101.7,26552.83
19,45116.82,15719.3
33,57648.47,16774.7
39,48421.64,24329.05
42,44071.34,13379.33
42,72007.72,16715.73
25,48286.85,20716.74
29,84493.84,27967.51
22,51361.14,15163.21
47,76779.78,5260.92
36,55359.79,4667.22
47,64444.41,9924.7
48,39130.83,9494.66
54,37193.61,18763.11
46,56895.59,10488.96
51,64828.3,14377.96
48,50603.85,13807.31
51,30704.1,16475.94
50,29596.12,30580.03
34,28592.95,25295.58
30,23485.67,20129.04
58,51642.28,16311.79
35,66875.66,16534.14
46,49798.76,22621.97
28,16093.78,24673.35
40,47138.59,12739.06
45,47558.02,20291.85
50,81439.98,3747.04
45,28142.93,21693.71
36,44139.84,26097.19
68,75587.79,17759.45
44,56749.68,34532.22
22,,24506.5
58,51372.8,20916.68
52,58711.66,22639.55
40,49148.25,26220.88
40,47443.89,13524.11
